Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
10,1.73648174852132797241E-01,1.73648177666930331187E-01,1.62097730001644878417E-08,9.84807748347520828247E-01,9.84807753012208020316E-01,4.73664755234598742905E-09,1.76326978951692581177E-01,1.76326980708464975400E-01,9.96315127180665710998E-09,1.73648175229512646833E-01,1.73648177666930331187E-01,1.40365290157463745551E-08,9.84807753441990674226E-01,9.84807753012208020316E-01,-4.36412744107235102618E-10,1.76326978156494840189E-01,1.76326980708464975400E-01,1.44729418320334042814E-08
11,1.90808993764221668243E-01,1.90808995376544804357E-01,8.44993249704459075914E-09,9.81627181172370910645E-01,9.81627183447663975713E-01,2.31787901132240764576E-09,1.94380307570099830627E-01,1.94380309137718476631E-01,8.06469876708251761851E-09,1.90808992961563117507E-01,1.90808995376544804357E-01,1.26565400236152696898E-08,9.81627183917089363163E-01,9.81627183447663975713E-01,-4.78211479231571257545E-10,1.94380306584581413754E-01,1.94380309137718476631E-01,1.31347515301480433574E-08
12,2.07911689765751361847E-01,2.07911690817759314820E-01,5.05987880759119337195E-09,9.78147596120834350586E-01,9.78147600733805688833E-01,4.71602781369908414287E-09,2.12556561455130577087E-01,2.12556561670022098332E-01,1.01098516216475998197E-09,2.07911688442196346260E-01,2.07911690817759314820E-01,1.14258267979832561627E-08,9.78147601238747110841E-01,9.78147600733805688833E-01,-5.16222113747843781689E-10,2.12556559131661243489E-01,2.12556561670022098332E-01,1.19420489064129337917E-08
13,2.24951052106916904449E-01,2.24951054343865003426E-01,9.94415476972502343482E-09,9.74370058625936508179E-01,9.74370064785235245886E-01,6.32131357631507765286E-09,2.30868190526962280273E-01,2.30868191125563115840E-01,2.59282508985697000393E-09,2.24951051991932632346E-01,2.24951054343865003426E-01,1.04553071686677403848E-08,9.74370065328222012546E-01,9.74370064785235245886E-01,-5.57269549101273787045E-10,2.30868188583109451573E-01,2.30868191125563115840E-01,1.10125767082582302483E-08
14,2.41921896114945411682E-01,2.41921895599667730048E-01,-2.12993406453411463101E-09,9.70295723527669906616E-01,9.70295726275996472943E-01,2.83246281580387788635E-09,2.49328004196286201477E-01,2.49328002843180684955E-01,-5.42700976800652188335E-09,2.41921893248914443575E-01,2.41921895599667730048E-01,9.71699267090348974841E-09,9.70295726862105412103E-01,9.70295726275996472943E-01,-6.04051860982222291511E-10,2.49328000269855271087E-01,2.49328002843180684955E-01,1.03210445057259439120E-08
15,2.58819045498967170715E-01,2.58819045102520739476E-01,-1.53175140546656787698E-09,9.65925816446542739868E-01,9.65925826289068312214E-01,1.01897322614568059528E-08,2.67949195578694343567E-01,2.67949192431122695801E-01,-1.17468973849352572682E-08,2.58819042777289620716E-01,2.58819045102520739476E-01,8.98400315880710423717E-09,9.65925826912112373002E-01,9.65925826289068312214E-01,-6.45022675479733670328E-10,2.67949189851032998355E-01,2.67949192431122695801E-01,9.62902583895326814538E-09
16,2.75637358427047729492E-01,2.75637355816999163327E-01,-9.46913940833969785558E-09,9.61261704564094543457E-01,9.61261695938318894150E-01,-8.97338957402252401708E-09,2.86745386198163032532E-01,2.86745385758807924681E-01,-1.53221331332702391044E-09,2.75637353533604245737E-01,2.75637355816999163327E-01,8.28405464427118859538E-09,9.61261696593071812700E-01,9.61261695938318894150E-01,-6.81139091795950316410E-10,2.86745383188079960846E-01,2.86745385758807924681E-01,8.96519383226528667082E-09
17,2.92371705174446105957E-01,2.92371704722736769355E-01,-1.54498315716517985722E-09,9.56304762512445449829E-01,9.56304755963035435506E-01,-6.84866401979769222356E-09,3.05730680003762245178E-01,3.05730681458660391581E-01,4.75875736347375743247E-09,2.92371702456817428306E-01,2.92371704722736769355E-01,7.75013212444020164358E-09,9.56304756655796506237E-01,9.56304755963035435506E-01,-7.24414540878403816765E-10,3.05730678867731475723E-01,3.05730681458660391581E-01,8.47454662873930265490E-09
18,3.09016998857259750366E-01,3.09016994374947395752E-01,-1.45050674218660064712E-08,9.51056521385908126831E-01,9.51056516295153531182E-01,-5.35273610317219987051E-09,3.24919698759913444519E-01,3.24919696232906285438E-01,-7.77732824818088127656E-09,3.09016992135520029983E-01,3.09016994374947395752E-01,7.24693918630136788300E-09,9.51056517022787706317E-01,9.51056516295153531182E-01,-7.65079848219218345030E-10,3.24919693629643513422E-01,3.24919696232906285438E-01,8.01201897637571870638E-09
19,3.25568158179521560669E-01,3.25568154457156644366E-01,-1.14334429899736588974E-08,9.45518571883440017700E-01,9.45518575599316846159E-01,3.92998815971600869647E-09,3.44327619299292564392E-01,3.44327613289665213081E-01,-1.74532251827697383391E-08,3.25568153446295804887E-01,3.25568154457156644366E-01,3.10491313612735886287E-09,9.45518575947383976832E-01,9.45518575599316846159E-01,-3.68122995841340465966E-10,3.44327612093802970517E-01,3.44327613289665213081E-01,3.47303613305767123153E-09
20,3.42020150274038314819E-01,3.42020143325668712908E-01,-2.03156736114854060327E-08,9.39692627638578414917E-01,9.39692620785908427905E-01,-7.29245912175855751859E-09,3.63970238715410232544E-01,3.63970234266202341544E-01,-1.22240982220914206467E-08,3.42020142335675403356E-01,3.42020143325668712908E-01,2.89454679460166702957E-09,9.39692621146236528595E-01,9.39692620785908427905E-01,-3.83453155553090591213E-10,3.63970233073107940491E-01,3.63970234266202341544E-01,3.27799992617078402450E-09
21,3.58367953449487686157E-01,3.58367949545300268355E-01,-1.08943542905848965191E-08,9.33580435812473297119E-01,9.33580426497201742997E-01,-9.97800648476637598312E-09,3.83864035829901695251E-01,3.83864035035415773756E-01,-2.06970651566585409522E-09,3.58367948576181483133E-01,3.58367949545300268355E-01,2.70425629984722965225E-09,9.33580426869211721375E-01,9.33580426497201742997E-01,-3.98476625922312755047E-10,3.83864033844388219396E-01,3.83864035035415773756E-01,3.10273285761010441650E-09
22,3.74606590718030929565E-01,3.74606593415912014766E-01,7.20190495296117180739E-09,9.27183866500854492188E-01,9.27183854566787424289E-01,-1.28713059684682322392E-08,4.04026217758655548096E-01,4.04026225835156793664E-01,1.99900420196018867318E-08,3.74606592460241472065E-01,3.74606593415912014766E-01,2.55113113196216332757E-09,9.27183854952903452329E-01,9.27183854566787424289E-01,-4.16439550945160579359E-10,4.04026224636180375516E-01,4.04026225835156793664E-01,2.96757077011573356651E-09
