Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
307,9.851604e-01,-7.986354e-01,2.233555e+00,-1.716362e-01,6.018152e-01,1.285198e+00,-5.739817e+00,-1.327044e+00,-3.325264e+00
308,9.851604e-01,-7.880107e-01,2.250187e+00,-1.716362e-01,6.156615e-01,1.278783e+00,-5.739817e+00,-1.279941e+00,-3.484437e+00
309,9.851604e-01,-7.771460e-01,2.267665e+00,-1.716362e-01,6.293204e-01,1.272733e+00,-5.739817e+00,-1.234897e+00,-3.648011e+00
310,9.851604e-01,-7.660445e-01,2.286035e+00,-1.716362e-01,6.427875e-01,1.267019e+00,-5.739817e+00,-1.191754e+00,-3.816277e+00
311,9.851604e-01,-7.547097e-01,2.305350e+00,-1.716362e-01,6.560588e-01,1.261617e+00,-5.739817e+00,-1.150369e+00,-3.989544e+00
312,9.851604e-01,-7.431448e-01,2.325664e+00,-1.716362e-01,6.691307e-01,1.256506e+00,-5.739817e+00,-1.110612e+00,-4.168156e+00
313,9.851604e-01,-7.313536e-01,2.347037e+00,-1.716362e-01,6.819984e-01,1.251667e+00,-5.739817e+00,-1.072369e+00,-4.352466e+00
314,9.851604e-01,-7.193398e-01,2.369534e+00,-1.716362e-01,6.946583e-01,1.247080e+00,-5.739817e+00,-1.035530e+00,-4.542876e+00
315,9.851604e-01,-7.071069e-01,2.393227e+00,-1.716362e-01,7.071066e-01,1.242730e+00,-5.739817e+00,-1.000000e+00,-4.739815e+00
316,9.851604e-01,-6.946585e-01,2.418194e+00,-1.716362e-01,7.193396e-01,1.238602e+00,-5.739817e+00,-9.656892e-01,-4.943751e+00
317,9.851604e-01,-6.819983e-01,2.444520e+00,-1.716362e-01,7.313538e-01,1.234683e+00,-5.739817e+00,-9.325148e-01,-5.155201e+00
318,9.851604e-01,-6.691306e-01,2.472299e+00,-1.716362e-01,7.431449e-01,1.230959e+00,-5.739817e+00,-9.004040e-01,-5.374713e+00
319,9.851604e-01,-6.560591e-01,2.501634e+00,-1.716362e-01,7.547095e-01,1.227420e+00,-5.739817e+00,-8.692868e-01,-5.602903e+00
320,9.851604e-01,-6.427878e-01,2.532637e+00,-1.716362e-01,7.660443e-01,1.224055e+00,-5.739817e+00,-8.390999e-01,-5.840445e+00
321,9.851604e-01,-6.293206e-01,2.565435e+00,-1.716362e-01,7.771458e-01,1.220855e+00,-5.739817e+00,-8.097845e-01,-6.088079e+00
322,9.851604e-01,-6.156614e-01,2.600166e+00,-1.716362e-01,7.880108e-01,1.217809e+00,-5.739817e+00,-7.812855e-01,-6.346632e+00
323,9.851604e-01,-6.018150e-01,2.636982e+00,-1.716362e-01,7.986355e-01,1.214912e+00,-5.739817e+00,-7.535540e-01,-6.616994e+00
324,9.851604e-01,-5.877853e-01,2.676055e+00,-1.716362e-01,8.090169e-01,1.212154e+00,-5.739817e+00,-7.265427e-01,-6.900178e+00
325,9.851604e-01,-5.735766e-01,2.717574e+00,-1.716362e-01,8.191519e-01,1.209529e+00,-5.739817e+00,-7.002078e-01,-7.197304e+00
326,9.851604e-01,-5.591931e-01,2.761753e+00,-1.716362e-01,8.290374e-01,1.207031e+00,-5.739817e+00,-6.745089e-01,-7.509623e+00
327,9.851604e-01,-5.446389e-01,2.808832e+00,-1.716362e-01,8.386706e-01,1.204653e+00,-5.739817e+00,-6.494074e-01,-7.838544e+00
328,9.851604e-01,-5.299193e-01,2.859076e+00,-1.716362e-01,8.480481e-01,1.202390e+00,-5.739817e+00,-6.248693e-01,-8.185627e+00
329,9.851604e-01,-5.150381e-01,2.912791e+00,-1.716362e-01,8.571672e-01,1.200237e+00,-5.739817e+00,-6.008608e-01,-8.552656e+00
330,9.851604e-01,-5.000002e-01,2.970320e+00,-1.716362e-01,8.660253e-01,1.198188e+00,-5.739817e+00,-5.773506e-01,-8.941649e+00
331,9.851604e-01,-4.848095e-01,3.032057e+00,-1.716362e-01,8.746198e-01,1.196241e+00,-5.739817e+00,-5.543088e-01,-9.354907e+00
332,9.851604e-01,-4.694715e-01,3.098446e+00,-1.716362e-01,8.829476e-01,1.194390e+00,-5.739817e+00,-5.317093e-01,-9.795027e+00
333,9.851604e-01,-4.539905e-01,3.170002e+00,-1.716362e-01,8.910065e-01,1.192632e+00,-5.739817e+00,-5.095255e-01,-1.026502e+01
334,9.851604e-01,-4.383712e-01,3.247320e+00,-1.716362e-01,8.987940e-01,1.190963e+00,-5.739817e+00,-4.877327e-01,-1.076836e+01
335,9.851604e-01,-4.226184e-01,3.331087e+00,-1.716362e-01,9.063077e-01,1.189380e+00,-5.739817e+00,-4.663079e-01,-1.130907e+01
336,9.851604e-01,-4.067365e-01,3.422110e+00,-1.716362e-01,9.135455e-01,1.187879e+00,-5.739817e+00,-4.452285e-01,-1.189184e+01
337,9.851604e-01,-3.907311e-01,3.521326e+00,-1.716362e-01,9.205049e-01,1.186459e+00,-5.739817e+00,-4.244747e-01,-1.252216e+01
