Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error,Float-sin,Mathlib-sin,Error,Float-cos,Mathlib-cos,Error,Float-tan,Mathlib-tan,Error
16,2.7563735843E-01,2.7563735582E-01,-9.4691394083E-09,9.6126170456E-01,9.6126169594E-01,-8.9733895740E-09,2.8674538620E-01,2.8674538576E-01,-1.5322133133E-09,2.7563735353E-01,2.7563735582E-01,8.2840546443E-09,9.6126169659E-01,9.6126169594E-01,-6.8113909180E-10,2.8674538319E-01,2.8674538576E-01,8.9651938323E-09
17,2.9237170517E-01,2.9237170472E-01,-1.5449831572E-09,9.5630476251E-01,9.5630475596E-01,-6.8486640198E-09,3.0573068000E-01,3.0573068146E-01,4.7587573635E-09,2.9237170246E-01,2.9237170472E-01,7.7501321244E-09,9.5630475666E-01,9.5630475596E-01,-7.2441454088E-10,3.0573067887E-01,3.0573068146E-01,8.4745466287E-09
18,3.0901699886E-01,3.0901699437E-01,-1.4505067422E-08,9.5105652139E-01,9.5105651630E-01,-5.3527361032E-09,3.2491969876E-01,3.2491969623E-01,-7.7773282482E-09,3.0901699214E-01,3.0901699437E-01,7.2469391863E-09,9.5105651702E-01,9.5105651630E-01,-7.6507984822E-10,3.2491969363E-01,3.2491969623E-01,8.0120189764E-09
19,3.2556815818E-01,3.2556815446E-01,-1.1433442990E-08,9.4551857188E-01,9.4551857560E-01,3.9299881597E-09,3.4432761930E-01,3.4432761329E-01,-1.7453225183E-08,3.2556815345E-01,3.2556815446E-01,3.1049131361E-09,9.4551857595E-01,9.4551857560E-01,-3.6812299584E-10,3.4432761209E-01,3.4432761329E-01,3.4730361331E-09
20,3.4202015027E-01,3.4202014333E-01,-2.0315673611E-08,9.3969262764E-01,9.3969262079E-01,-7.2924591218E-09,3.6397023872E-01,3.6397023427E-01,-1.2224098222E-08,3.4202014234E-01,3.4202014333E-01,2.8945467946E-09,9.3969262115E-01,9.3969262079E-01,-3.8345315555E-10,3.6397023307E-01,3.6397023427E-01,3.2779999262E-09
21,3.5836795345E-01,3.5836794955E-01,-1.0894354291E-08,9.3358043581E-01,9.3358042650E-01,-9.9780064848E-09,3.8386403583E-01,3.8386403504E-01,-2.0697065157E-09,3.5836794858E-01,3.5836794955E-01,2.7042562998E-09,9.3358042687E-01,9.3358042650E-01,-3.9847662592E-10,3.8386403384E-01,3.8386403504E-01,3.1027328576E-09
22,3.7460659072E-01,3.7460659342E-01,7.2019049530E-09,9.2718386650E-01,9.2718385457E-01,-1.2871305968E-08,4.0402621776E-01,4.0402622584E-01,1.9990042020E-08,3.7460659246E-01,3.7460659342E-01,2.5511311320E-09,9.2718385495E-01,9.2718385457E-01,-4.1643955095E-10,4.0402622464E-01,4.0402622584E-01,2.9675707701E-09
23,3.9073112793E-01,3.9073112849E-01,1.4245242523E-09,9.2050485685E-01,9.2050485345E-01,-3.6960553083E-09,4.2447481491E-01,4.2447481621E-01,3.0694125449E-09,3.9073112755E-01,3.9073112849E-01,2.4037269180E-09,9.2050485385E-01,9.2050485345E-01,-4.3310048246E-10,4.2447481501E-01,4.2447481621E-01,2.8368274862E-09
24,4.0673664771E-01,4.0673664308E-01,-1.1394114662E-08,9.1354546323E-01,9.1354545764E-01,-6.1207520830E-09,4.4522868842E-01,4.4522868531E-01,-6.9859134964E-09,4.0673664215E-01,4.0673664308E-01,2.2684584293E-09,9.1354545805E-01,9.1354545764E-01,-4.4967324677E-10,4.4522868410E-01,4.4522868531E-01,2.7181316259E-09
25,4.2261826433E-01,4.2261826174E-01,-6.1325183544E-09,9.0630779043E-01,9.0630778704E-01,-3.7423821359E-09,4.6630765870E-01,4.6630765815E-01,-1.1733380245E-09,4.2261826083E-01,4.2261826174E-01,2.1540667929E-09,9.0630778746E-01,9.0630778704E-01,-4.6838661134E-10,4.6630765693E-01,4.6630765815E-01,2.6224533558E-09
26,4.3837114610E-01,4.3837114679E-01,1.5769700181E-09,8.9879405871E-01,8.9879404630E-01,-1.3808691490E-08,4.8773258179E-01,4.8773258857E-01,1.3883836482E-08,4.3837114592E-01,4.3837114679E-01,1.9759351341E-09,8.9879404672E-01,8.9879404630E-01,-4.7004187203E-10,4.8773258737E-01,4.8773258857E-01,2.4459771524E-09
27,4.5399050415E-01,4.5399049974E-01,-9.7052151548E-09,8.9100653678E-01,8.9100652419E-01,-1.4133925689E-08,5.0952544808E-01,5.0952544949E-01,2.7683626506E-09,4.5399049888E-01,4.5399049974E-01,1.8984293946E-09,8.9100652463E-01,8.9100652419E-01,-4.9286301902E-10,5.0952544828E-01,5.0952544949E-01,2.3912924519E-09
28,4.6947156265E-01,4.6947156279E-01,2.8140319430E-10,8.8294760138E-01,8.8294759286E-01,-9.6484062580E-09,5.3170942515E-01,5.3170943166E-01,1.2243774990E-08,4.6947156194E-01,4.6947156279E-01,1.7997782875E-09,8.8294759331E-01,8.8294759286E-01,-5.0882403690E-10,5.3170943043E-01,5.3170943166E-01,2.3086023674E-09
29,4.8480962403E-01,4.8480962025E-01,-7.8068769488E-09,8.7461970001E-01,8.7461970714E-01,8.1461742866E-09,5.5430905893E-01,5.5430905145E-01,-1.3497310162E-08,4.8480961944E-01,4.8480962025E-01,1.6688539969E-09,8.7461970759E-01,8.7461970714E-01,-5.1276943667E-10,5.5430905024E-01,5.5430905145E-01,2.1816235222E-09
30,5.0000000373E-01,5.0000000000E-01,-7.4505806964E-09,8.6602541059E-01,8.6602540378E-01,-7.8613367397E-09,5.7735027000E-01,5.7735026919E-01,-1.4089448356E-09,4.9999999921E-01,5.0000000000E-01,1.5766525863E-09,8.6602540424E-01,8.6602540378E-01,-5.2555083009E-10,5.7735026798E-01,5.7735026919E-01,2.1022035768E-09
31,5.1503807306E-01,5.1503807491E-01,3.5864483480E-09,8.5716731101E-01,8.5716730070E-01,-1.2028728336E-08,6.0086061060E-01,6.0086061903E-01,1.4018682385E-08,5.1503807412E-01,5.1503807491E-01,1.5282944002E-09,8.5716730118E-01,8.5716730070E-01,-5.5176536733E-10,6.0086061778E-01,6.0086061903E-01,2.0800598024E-09
32,5.2991926298E-01,5.2991926423E-01,2.3734759245E-09,8.4804810584E-01,8.4804809616E-01,-1.1413843956E-08,6.2486934289E-01,6.2486935191E-01,1.4428560824E-08,5.2991926347E-01,5.2991926423E-01,1.4462851761E-09,8.4804809664E-01,8.4804809616E-01,-5.6471904683E-10,6.2486935065E-01,6.2486935191E-01,2.0110042514E-09
33,5.4463904724E-01,5.4463903502E-01,-2.2437288907E-08,8.3867057040E-01,8.3867056795E-01,-2.9307257830E-09,6.4940760657E-01,6.4940759320E-01,-2.0594773310E-08,5.4463903375E-01,5.4463903502E-01,2.3139645867E-09,8.3867056876E-01,8.3867056795E-01,-9.7586971735E-10,6.4940759106E-01,6.4940759320E-01,3.2898344414E-09
34,5.5919289961E-01,5.5919290347E-01,6.8959643679E-09,8.2903756574E-01,8.2903757256E-01,8.2228829831E-09,6.7450851947E-01,6.7450851684E-01,-3.8965630931E-09,5.5919290223E-01,5.5919290347E-01,2.2126852954E-09,8.2903757339E-01,8.2903757256E-01,-1.0066872029E-09,6.7450851467E-01,6.7450851684E-01,3.2193723896E-09
35,5.7357643917E-01,5.7357643635E-01,-4.9182345370E-09,8.1915204227E-01,8.1915204429E-01,2.4650919271E-09,7.0020754263E-01,7.0020753821E-01,-6.3100436687E-09,5.7357643512E-01,5.7357643635E-01,2.1442134627E-09,8.1915204515E-01,8.1915204429E-01,-1.0512883831E-09,7.0020753597E-01,7.0020753821E-01,3.1955018832E-09
36,5.8778525516E-01,5.8778525229E-01,-4.8851768298E-09,8.0901701003E-01,8.0901699437E-01,-1.9354578848E-08,7.2654251754E-01,7.2654252801E-01,1.4400425846E-08,5.8778525109E-01,5.8778525229E-01,2.0448981503E-09,8.0901699525E-01,8.0901699437E-01,-1.0794285078E-09,7.2654252574E-01,7.2654252801E-01,3.1243267056E-09
37,6.0181502625E-01,6.0181502315E-01,-5.1534332626E-09,7.9863551632E-01,7.9863551005E-01,-7.8488943933E-09,7.5355404988E-01,7.5355405010E-01,2.9657015445E-10,6.0181502199E-01,6.0181502315E-01,1.9293421644E-09,7.9863551092E-01,7.9863551005E-01,-1.0955648537E-09,7.5355404782E-01,7.5355405010E-01,3.0249070747E-09
38,6.1566147953E-01,6.1566147533E-01,-6.8333988992E-09,7.8801076114E-01,7.8801075361E-01,-9.5621220821E-09,7.8128562495E-01,7.8128562651E-01,1.9910683264E-09,6.1566147419E-01,6.1566147533E-01,1.8476275182E-09,7.8801075450E-01,7.8801075361E-01,-1.1278053732E-09,7.8128562418E-01,7.8128562651E-01,2.9754329771E-09
