Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
92,9.993907e-01,9.993908e-01,1.192820e-07,-3.489949e-02,-3.489946e-02,-8.539479e-07,-2.863625e+01,-2.863628e+01,9.990902e-07
93,9.986295e-01,9.986295e-01,0.000000e+00,-5.233596e-02,-5.233594e-02,-4.270821e-07,-1.908113e+01,-1.908114e+01,3.998395e-07
94,9.975640e-01,9.975641e-01,1.195004e-07,-6.975647e-02,-6.975648e-02,1.068084e-07,-1.430067e+01,-1.430066e+01,-6.668741e-08
95,9.961948e-01,9.961947e-01,-5.983232e-08,-8.715574e-02,-8.715577e-02,3.419432e-07,-1.143005e+01,-1.143005e+01,-4.171786e-07
96,9.945220e-01,9.945219e-01,-5.993296e-08,-1.045285e-01,-1.045285e-01,4.276679e-07,-9.514365e+00,-9.514360e+00,-5.011763e-07
97,9.925463e-01,9.925461e-01,-1.201045e-07,-1.218693e-01,-1.218693e-01,-4.890867e-07,-8.144347e+00,-8.144350e+00,3.512893e-07
98,9.902681e-01,9.902681e-01,-6.019041e-08,-1.391731e-01,-1.391731e-01,-1.070693e-07,-7.115371e+00,-7.115371e+00,6.701508e-08
99,9.876883e-01,9.876884e-01,6.034762e-08,-1.564344e-01,-1.564344e-01,-0.000000e+00,-6.313752e+00,-6.313752e+00,-0.000000e+00
100,9.851604e-01,9.848077e-01,-3.580608e-04,-1.716362e-01,-1.736482e-01,1.158656e-02,-5.739817e+00,-5.671281e+00,-1.208463e-02
101,9.851604e-01,9.816272e-01,-3.599314e-03,-1.716362e-01,-1.908090e-01,1.004817e-01,-5.739817e+00,-5.144553e+00,-1.157075e-01
102,9.851604e-01,9.781476e-01,-7.169393e-03,-1.716362e-01,-2.079116e-01,1.744752e-01,-5.739817e+00,-4.704632e+00,-2.200353e-01
103,9.851604e-01,9.743701e-01,-1.107412e-02,-1.716362e-01,-2.249510e-01,2.370062e-01,-5.739817e+00,-4.331477e+00,-3.251408e-01
104,9.851604e-01,9.702957e-01,-1.531968e-02,-1.716362e-01,-2.419219e-01,2.905304e-01,-5.739817e+00,-4.010781e+00,-4.310969e-01
105,9.851604e-01,9.659258e-01,-1.991306e-02,-1.716362e-01,-2.588190e-01,3.368486e-01,-5.739817e+00,-3.732051e+00,-5.379792e-01
106,9.851604e-01,9.612617e-01,-2.486176e-02,-1.716362e-01,-2.756374e-01,3.773115e-01,-5.739817e+00,-3.487414e+00,-6.458660e-01
107,9.851604e-01,9.563047e-01,-3.017409e-02,-1.716362e-01,-2.923717e-01,4.129521e-01,-5.739817e+00,-3.270852e+00,-7.548382e-01
108,9.851604e-01,9.510565e-01,-3.585887e-02,-1.716362e-01,-3.090169e-01,4.445735e-01,-5.739817e+00,-3.077684e+00,-8.649791e-01
109,9.851604e-01,9.455186e-01,-4.192592e-02,-1.716362e-01,-3.255681e-01,4.728101e-01,-5.739817e+00,-2.904211e+00,-9.763771e-01
110,9.851604e-01,9.396926e-01,-4.838575e-02,-1.716362e-01,-3.420201e-01,4.981693e-01,-5.739817e+00,-2.747478e+00,-1.089122e+00
111,9.851604e-01,9.335805e-01,-5.524954e-02,-1.716362e-01,-3.583679e-01,5.210615e-01,-5.739817e+00,-2.605089e+00,-1.203309e+00
112,9.851604e-01,9.271839e-01,-6.252965e-02,-1.716362e-01,-3.746066e-01,5.418228e-01,-5.739817e+00,-2.475087e+00,-1.319037e+00
113,9.851604e-01,9.205049e-01,-7.023915e-02,-1.716362e-01,-3.907312e-01,5.607307e-01,-5.739817e+00,-2.355852e+00,-1.436408e+00
114,9.851604e-01,9.135455e-01,-7.839222e-02,-1.716362e-01,-4.067366e-01,5.780163e-01,-5.739817e+00,-2.246037e+00,-1.555530e+00
115,9.851604e-01,9.063078e-01,-8.700421e-02,-1.716362e-01,-4.226183e-01,5.938742e-01,-5.739817e+00,-2.144506e+00,-1.676521e+00
116,9.851604e-01,8.987941e-01,-9.609131e-02,-1.716362e-01,-4.383711e-01,6.084683e-01,-5.739817e+00,-2.050304e+00,-1.799496e+00
117,9.851604e-01,8.910066e-01,-1.056712e-01,-1.716362e-01,-4.539904e-01,6.219387e-01,-5.739817e+00,-1.962611e+00,-1.924582e+00
118,9.851604e-01,8.829476e-01,-1.157631e-01,-1.716362e-01,-4.694716e-01,6.344055e-01,-5.739817e+00,-1.880726e+00,-2.051915e+00
119,9.851604e-01,8.746197e-01,-1.263871e-01,-1.716362e-01,-4.848095e-01,6.459719e-01,-5.739817e+00,-1.804048e+00,-2.181632e+00
120,9.851604e-01,8.660254e-01,-1.375652e-01,-1.716362e-01,-5.000001e-01,6.567276e-01,-5.739817e+00,-1.732051e+00,-2.313885e+00
121,9.851604e-01,8.571673e-01,-1.493210e-01,-1.716362e-01,-5.150380e-01,6.667504e-01,-5.739817e+00,-1.664280e+00,-2.448829e+00
122,9.851604e-01,8.480480e-01,-1.616799e-01,-1.716362e-01,-5.299193e-01,6.761088e-01,-5.739817e+00,-1.600334e+00,-2.586636e+00
123,9.851604e-01,8.386706e-01,-1.746691e-01,-1.716362e-01,-5.446391e-01,6.848625e-01,-5.739817e+00,-1.539865e+00,-2.727481e+00
124,9.851604e-01,8.290376e-01,-1.883180e-01,-1.716362e-01,-5.591928e-01,6.930644e-01,-5.739817e+00,-1.482561e+00,-2.871555e+00
125,9.851604e-01,8.191520e-01,-2.026588e-01,-1.716362e-01,-5.735765e-01,7.007614e-01,-5.739817e+00,-1.428148e+00,-3.019063e+00
126,9.851604e-01,8.090170e-01,-2.177251e-01,-1.716362e-01,-5.877852e-01,7.079950e-01,-5.739817e+00,-1.376382e+00,-3.170220e+00
127,9.851604e-01,7.986355e-01,-2.335544e-01,-1.716362e-01,-6.018151e-01,7.148024e-01,-5.739817e+00,-1.327045e+00,-3.325263e+00
128,9.851604e-01,7.880108e-01,-2.501864e-01,-1.716362e-01,-6.156614e-01,7.212166e-01,-5.739817e+00,-1.279942e+00,-3.484436e+00
129,9.851604e-01,7.771460e-01,-2.676644e-01,-1.716362e-01,-6.293203e-01,7.272673e-01,-5.739817e+00,-1.234897e+00,-3.648011e+00
130,9.851604e-01,7.660444e-01,-2.860355e-01,-1.716362e-01,-6.427876e-01,7.329815e-01,-5.739817e+00,-1.191754e+00,-3.816278e+00
