Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
3.900000e-02,6.807051e-04,6.806784e-04,-3.933508e-05,9.999997e-01,9.999998e-01,6.636170e-08,6.807053e-04,6.806785e-04,-3.935995e-05
4.000000e-02,6.981487e-04,6.981316e-04,-2.449382e-05,9.999996e-01,9.999998e-01,1.139340e-07,6.981490e-04,6.981318e-04,-2.458363e-05
4.100000e-02,7.155924e-04,7.155849e-04,-1.045817e-05,9.999996e-01,9.999997e-01,1.015970e-07,7.155926e-04,7.155851e-04,-1.052751e-05
4.200000e-02,7.330361e-04,7.330382e-04,2.908815e-06,9.999996e-01,9.999997e-01,8.895534e-08,7.330364e-04,7.330384e-04,2.780456e-06
4.300000e-02,7.504799e-04,7.504915e-04,1.549867e-05,9.999996e-01,9.999997e-01,7.600910e-08,7.504802e-04,7.504917e-04,1.539248e-05
4.400000e-02,7.679235e-04,7.679448e-04,2.766755e-05,9.999996e-01,9.999997e-01,6.275824e-08,7.679238e-04,7.679450e-04,2.758343e-05
4.500000e-02,7.853672e-04,7.853981e-04,3.929529e-05,9.999996e-01,9.999997e-01,4.920277e-08,7.853675e-04,7.853983e-04,3.923314e-05
4.600000e-02,8.028775e-04,8.028514e-04,-3.252415e-05,9.999996e-01,9.999997e-01,3.534267e-08,8.028778e-04,8.028516e-04,-3.256436e-05
4.700000e-02,8.203213e-04,8.203047e-04,-2.025304e-05,9.999995e-01,9.999997e-01,1.403873e-07,8.203217e-04,8.203049e-04,-2.041329e-05
4.800000e-02,8.377649e-04,8.377579e-04,-8.354556e-06,9.999995e-01,9.999996e-01,1.259180e-07,8.377653e-04,8.377582e-04,-8.489995e-06
4.900000e-02,8.552086e-04,8.552112e-04,3.057974e-06,9.999995e-01,9.999996e-01,1.111440e-07,8.552090e-04,8.552115e-04,2.947230e-06
5.000000e-02,8.726524e-04,8.726645e-04,1.388030e-05,9.999995e-01,9.999996e-01,9.606545e-08,8.726528e-04,8.726648e-04,1.379416e-05
5.100000e-02,8.900961e-04,8.901178e-04,2.440871e-05,9.999995e-01,9.999996e-01,8.068227e-08,8.900965e-04,8.901181e-04,2.434711e-05
5.200000e-02,9.075397e-04,9.075711e-04,3.453189e-05,9.999995e-01,9.999996e-01,6.499447e-08,9.075401e-04,9.075715e-04,3.449477e-05
5.300000e-02,9.250500e-04,9.250244e-04,-2.771407e-05,9.999995e-01,9.999996e-01,4.900205e-08,9.250505e-04,9.250248e-04,-2.778963e-05
5.400000e-02,9.424936e-04,9.424776e-04,-1.693942e-05,9.999995e-01,9.999996e-01,9.230969e-08,9.424941e-04,9.424781e-04,-1.705112e-05
5.500000e-02,9.599373e-04,9.599309e-04,-6.617519e-06,9.999995e-01,9.999995e-01,7.570803e-08,9.599378e-04,9.599314e-04,-6.702518e-06
5.600000e-02,9.773810e-04,9.773842e-04,3.275892e-06,9.999995e-01,9.999995e-01,5.880176e-08,9.773816e-04,9.773847e-04,3.157986e-06
5.700000e-02,9.948247e-04,9.948375e-04,1.288038e-05,9.999993e-01,9.999995e-01,1.608002e-07,9.948254e-04,9.948380e-04,1.267310e-05
5.800000e-02,1.012268e-03,1.012291e-03,2.215337e-05,9.999993e-01,9.999995e-01,1.432847e-07,1.012269e-03,1.012291e-03,2.197572e-05
5.900000e-02,1.029712e-03,1.029744e-03,3.111173e-05,9.999993e-01,9.999995e-01,1.254646e-07,1.029713e-03,1.029745e-03,3.096358e-05
6.000000e-02,1.047222e-03,1.047197e-03,-2.381719e-05,9.999993e-01,9.999995e-01,1.073399e-07,1.047223e-03,1.047198e-03,-2.393587e-05
6.100000e-02,1.064666e-03,1.064651e-03,-1.461822e-05,9.999993e-01,9.999994e-01,8.891050e-08,1.064667e-03,1.064651e-03,-1.470754e-05
6.200000e-02,1.082110e-03,1.082104e-03,-5.501122e-06,9.999993e-01,9.999994e-01,7.017652e-08,1.082111e-03,1.082105e-03,-5.561138e-06
6.300000e-02,1.099554e-03,1.099557e-03,3.326242e-06,9.999993e-01,9.999994e-01,5.113792e-08,1.099554e-03,1.099558e-03,3.295505e-06
6.400000e-02,1.116997e-03,1.117010e-03,1.187745e-05,9.999992e-01,9.999994e-01,1.510041e-07,1.116998e-03,1.117011e-03,1.177176e-05
6.500000e-02,1.134441e-03,1.134464e-03,2.016524e-05,9.999992e-01,9.999994e-01,1.313562e-07,1.134442e-03,1.134464e-03,1.998780e-05
6.600000e-02,1.151951e-03,1.151917e-03,-2.960601e-05,9.999992e-01,9.999993e-01,1.114038e-07,1.151952e-03,1.151918e-03,-2.975103e-05
6.700000e-02,1.169395e-03,1.169370e-03,-2.094705e-05,9.999992e-01,9.999993e-01,9.114673e-08,1.169396e-03,1.169371e-03,-2.105975e-05
6.800000e-02,1.186838e-03,1.186824e-03,-1.254307e-05,9.999993e-01,9.999993e-01,1.098036e-08,1.186839e-03,1.186824e-03,-1.252541e-05
6.900000e-02,1.204282e-03,1.204277e-03,-4.382981e-06,9.999993e-01,9.999993e-01,-9.885939e-09,1.204283e-03,1.204278e-03,-4.334513e-06
7.000000e-02,1.221726e-03,1.221730e-03,3.543662e-06,9.999993e-01,9.999993e-01,-3.105686e-08,1.221727e-03,1.221731e-03,3.527674e-06
7.100000e-02,1.239170e-03,1.239183e-03,1.124672e-05,9.999992e-01,9.999992e-01,6.667698e-08,1.239171e-03,1.239184e-03,1.116899e-05
7.200000e-02,1.256613e-03,1.256637e-03,1.855022e-05,9.999992e-01,9.999992e-01,4.489683e-08,1.256614e-03,1.256638e-03,1.850601e-05
7.300000e-02,1.274124e-03,1.274090e-03,-2.642834e-05,9.999992e-01,9.999992e-01,2.281205e-08,1.274125e-03,1.274091e-03,-2.643901e-05
7.400000e-02,1.291567e-03,1.291543e-03,-1.863343e-05,9.999992e-01,9.999992e-01,4.226607e-10,1.291568e-03,1.291544e-03,-1.861060e-05
7.500000e-02,1.309011e-03,1.308997e-03,-1.104669e-05,9.999992e-01,9.999991e-01,-2.227135e-08,1.309012e-03,1.308998e-03,-1.099035e-05
7.600000e-02,1.326455e-03,1.326450e-03,-3.659895e-06,9.999992e-01,9.999991e-01,-4.526998e-08,1.326456e-03,1.326451e-03,-3.657802e-06
7.700000e-02,1.343898e-03,1.343903e-03,3.534733e-06,9.999992e-01,9.999991e-01,-6.857323e-08,1.343900e-03,1.343904e-03,3.571521e-06
7.800000e-02,1.361342e-03,1.361356e-03,1.054458e-05,9.999990e-01,9.999991e-01,2.702831e-08,1.361343e-03,1.361358e-03,1.053056e-05
7.900000e-02,1.378786e-03,1.378810e-03,1.720780e-05,9.999990e-01,9.999990e-01,3.115826e-09,1.378787e-03,1.378811e-03,1.722960e-05
8.000000e-02,1.396296e-03,1.396263e-03,-2.382038e-05,9.999990e-01,9.999990e-01,-2.110127e-08,1.396297e-03,1.396264e-03,-2.376272e-05
8.100000e-02,1.413740e-03,1.413716e-03,-1.673333e-05,9.999990e-01,9.999990e-01,-4.562299e-08,1.413741e-03,1.413718e-03,-1.672218e-05
8.200000e-02,1.431183e-03,1.431169e-03,-9.738094e-06,9.999990e-01,9.999990e-01,-1.084462e-08,1.431185e-03,1.431171e-03,-9.690073e-06
8.300000e-02,1.448627e-03,1.448623e-03,-2.992079e-06,9.999990e-01,9.999990e-01,-3.597558e-08,1.448629e-03,1.448624e-03,-2.987536e-06
8.400000e-02,1.466071e-03,1.466076e-03,3.593015e-06,9.999990e-01,9.999989e-01,-6.141115e-08,1.466072e-03,1.466078e-03,3.635424e-06
8.500000e-02,1.483514e-03,1.483529e-03,1.002287e-05,9.999989e-01,9.999989e-01,3.205808e-08,1.483516e-03,1.483531e-03,1.002468e-05
8.600000e-02,1.500958e-03,1.500983e-03,1.630288e-05,9.999989e-01,9.999989e-01,6.013268e-09,1.500960e-03,1.500984e-03,1.626595e-05
8.700000e-02,1.518469e-03,1.518436e-03,-2.156916e-05,9.999989e-01,9.999988e-01,-2.033616e-08,1.518470e-03,1.518438e-03,-2.156632e-05
8.800000e-02,1.535912e-03,1.535889e-03,-1.507346e-05,9.999989e-01,9.999988e-01,-4.699020e-08,1.535914e-03,1.535891e-03,-1.503092e-05
8.900000e-02,1.553356e-03,1.553342e-03,-8.574154e-06,9.999987e-01,9.999988e-01,4.526057e-08,1.553358e-03,1.553344e-03,-8.641771e-06
