Angle, Posit-sin, Mathlib-sin, Error, Posit-cos, Mathlib-cos, Error, Posit-tan, Mathlib-tan, Error 
3.900000e-02,6.806800e-04,6.806784e-04,-2.479912e-06,9.999998e-01,9.999998e-01,-1.117587e-08,6.806802e-04,6.806785e-04,-2.458532e-06
4.000000e-02,6.981321e-04,6.981316e-04,-6.044785e-07,9.999998e-01,9.999998e-01,-3.725292e-09,6.981322e-04,6.981318e-04,-5.836342e-07
4.100000e-02,7.155841e-04,7.155849e-04,1.179470e-06,9.999997e-01,9.999997e-01,-3.725292e-09,7.155843e-04,7.155851e-04,1.179470e-06
4.200000e-02,7.330361e-04,7.330382e-04,2.878469e-06,9.999997e-01,9.999997e-01,-7.450584e-09,7.330363e-04,7.330384e-04,2.878468e-06
4.300000e-02,7.504964e-04,7.504915e-04,-6.573158e-06,9.999997e-01,9.999997e-01,-1.117587e-08,7.504966e-04,7.504917e-04,-6.553767e-06
4.400000e-02,7.679485e-04,7.679448e-04,-4.775191e-06,9.999997e-01,9.999997e-01,-7.450584e-09,7.679487e-04,7.679450e-04,-4.756240e-06
4.500000e-02,7.854005e-04,7.853981e-04,-3.057133e-06,9.999997e-01,9.999997e-01,-7.450584e-09,7.854007e-04,7.853983e-04,-3.057132e-06
4.600000e-02,8.028525e-04,8.028514e-04,-1.413773e-06,9.999997e-01,9.999997e-01,-7.450584e-09,8.028528e-04,8.028516e-04,-1.413772e-06
4.700000e-02,8.203045e-04,8.203047e-04,1.419172e-07,9.999997e-01,9.999997e-01,-7.450584e-09,8.203048e-04,8.203049e-04,1.596568e-07
4.800000e-02,8.377566e-04,8.377579e-04,1.650157e-06,9.999997e-01,9.999996e-01,-7.450584e-09,8.377568e-04,8.377582e-04,1.650156e-06
4.900000e-02,8.552086e-04,8.552112e-04,3.096836e-06,9.999996e-01,9.999996e-01,-7.450584e-09,8.552089e-04,8.552115e-04,3.096834e-06
5.000000e-02,8.726689e-04,8.726645e-04,-5.035931e-06,9.999996e-01,9.999996e-01,-1.117587e-08,8.726692e-04,8.726648e-04,-5.019254e-06
5.100000e-02,8.901209e-04,8.901178e-04,-3.514885e-06,9.999996e-01,9.999996e-01,-1.117587e-08,8.901213e-04,8.901181e-04,-3.498536e-06
5.200000e-02,9.075730e-04,9.075711e-04,-2.084409e-06,9.999996e-01,9.999996e-01,-7.450584e-09,9.075733e-04,9.075715e-04,-2.084408e-06
5.300000e-02,9.250250e-04,9.250244e-04,-6.921809e-07,9.999996e-01,9.999996e-01,-7.450584e-09,9.250254e-04,9.250248e-04,-6.921807e-07
5.400000e-02,9.424770e-04,9.424776e-04,6.948029e-07,9.999996e-01,9.999996e-01,-1.117587e-08,9.424774e-04,9.424781e-04,7.102426e-07
5.500000e-02,9.599290e-04,9.599309e-04,2.016192e-06,9.999995e-01,9.999995e-01,-7.450584e-09,9.599294e-04,9.599314e-04,2.031350e-06
