Angle, Float-sin, Mathlib-sin, Error, Float-cos, Mathlib-cos, Error, Float-tan, Mathlib-tan, Error 
41,6.560590e-01,6.560590e-01,0.000000e+00,7.547097e-01,7.547096e-01,-7.897693e-08,8.692867e-01,8.692868e-01,1.371346e-07
42,6.691306e-01,6.691306e-01,8.907774e-08,7.431450e-01,7.431448e-01,-2.406179e-07,9.004038e-01,9.004041e-01,3.309883e-07
43,6.819984e-01,6.819984e-01,-8.739705e-08,7.313538e-01,7.313537e-01,-8.149907e-08,9.325151e-01,9.325150e-01,-6.391816e-08
44,6.946585e-01,6.946584e-01,-8.580425e-08,7.193400e-01,7.193398e-01,-2.485806e-07,9.656886e-01,9.656888e-01,1.234448e-07
45,7.071068e-01,7.071068e-01,0.000000e+00,7.071068e-01,7.071068e-01,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00
46,7.193400e-01,7.193398e-01,-2.485806e-07,6.946585e-01,6.946584e-01,-8.580425e-08,1.035530e+00,1.035530e+00,-1.151191e-07
47,7.313538e-01,7.313537e-01,-8.149907e-08,6.819984e-01,6.819984e-01,-8.739705e-08,1.072369e+00,1.072369e+00,0.000000e+00
48,7.431448e-01,7.431449e-01,8.020596e-08,6.691307e-01,6.691306e-01,-2.672332e-07,1.110612e+00,1.110613e+00,3.220095e-07
49,7.547097e-01,7.547095e-01,-1.579539e-07,6.560590e-01,6.560590e-01,0.000000e+00,1.150369e+00,1.150368e+00,-2.072541e-07
50,7.660446e-01,7.660444e-01,-2.334250e-07,6.427876e-01,6.427876e-01,9.272836e-08,1.191754e+00,1.191754e+00,-3.000854e-07
51,7.771461e-01,7.771460e-01,-1.533937e-07,6.293203e-01,6.293204e-01,9.471272e-08,1.234897e+00,1.234897e+00,-1.930675e-07
52,7.880107e-01,7.880107e-01,0.000000e+00,6.156617e-01,6.156615e-01,-2.904420e-07,1.279941e+00,1.279942e+00,2.794095e-07
53,7.986353e-01,7.986355e-01,2.985324e-07,6.018152e-01,6.018150e-01,-2.971244e-07,1.327044e+00,1.327045e+00,6.288145e-07
54,8.090169e-01,8.090170e-01,7.367539e-08,5.877852e-01,5.877852e-01,1.014055e-07,1.376382e+00,1.376382e+00,0.000000e+00
55,8.191522e-01,8.191521e-01,-1.455277e-07,5.735763e-01,5.735765e-01,2.078350e-07,1.428149e+00,1.428148e+00,-4.173562e-07
56,8.290377e-01,8.290375e-01,-1.437924e-07,5.591930e-01,5.591929e-01,-2.131810e-07,1.482561e+00,1.482561e+00,8.040768e-08
57,8.386706e-01,8.386706e-01,7.107039e-08,5.446392e-01,5.446390e-01,-4.377553e-07,1.539864e+00,1.539865e+00,3.870771e-07
58,8.480484e-01,8.480481e-01,-3.514226e-07,5.299190e-01,5.299193e-01,4.499149e-07,1.600336e+00,1.600335e+00,-8.193925e-07
59,8.571676e-01,8.571673e-01,-3.476838e-07,5.150380e-01,5.150381e-01,2.314572e-07,1.664280e+00,1.664280e+00,-5.013971e-07
60,8.660254e-01,8.660254e-01,0.000000e+00,5.000001e-01,5.000000e-01,-1.788139e-07,1.732051e+00,1.732051e+00,1.376510e-07
61,8.746196e-01,8.746197e-01,1.362984e-07,4.848097e-01,4.848096e-01,-3.073611e-07,1.804047e+00,1.804048e+00,4.625515e-07
62,8.829474e-01,8.829476e-01,2.025193e-07,4.694718e-01,4.694716e-01,-3.808834e-07,1.880725e+00,1.880726e+00,5.704624e-07
63,8.910063e-01,8.910065e-01,2.675834e-07,4.539907e-01,4.539905e-01,-3.282263e-07,1.962609e+00,1.962610e+00,5.466615e-07
