Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error
144,5.8778525516E-01,5.8778525229E-01,-4.8851766613E-09,-8.0901699141E-01,-8.0901699437E-01,3.6689812868E-09,-7.2654253244E-01,-7.2654252801E-01,-6.1092627582E-09
145,5.7357643545E-01,5.7357643635E-01,1.5766113887E-09,-8.1915204599E-01,-8.1915204429E-01,-2.0826480463E-09,-7.0020753518E-01,-7.0020753821E-01,4.3304888931E-09
146,5.5919289589E-01,5.5919290347E-01,1.3557869919E-08,-8.2903757691E-01,-8.2903757256E-01,-5.2576530888E-09,-6.7450850457E-01,-6.7450851684E-01,1.8195316903E-08
147,5.4463903606E-01,5.4463903502E-01,-1.9175134221E-09,-8.3867056668E-01,-8.3867056795E-01,1.5111737608E-09,-6.4940759540E-01,-6.4940759320E-01,-3.3854417393E-09
148,5.2991925925E-01,5.2991926423E-01,9.4033964419E-09,-8.4804809839E-01,-8.4804809616E-01,-2.6282802304E-09,-6.2486934289E-01,-6.2486935191E-01,1.4428560850E-08
149,5.1503808051E-01,5.1503807491E-01,-1.0879628550E-08,-8.5716729611E-01,-8.5716730070E-01,5.3554638295E-09,-6.0086062923E-01,-6.0086061903E-01,-1.6980938134E-08
150,5.0000000000E-01,5.0000000000E-01,-7.9632485064E-17,-8.6602540314E-01,-8.6602540378E-01,7.4185268020E-10,-5.7735027000E-01,-5.7735026919E-01,-1.4089448091E-09
151,4.8480961472E-01,4.8480962025E-01,1.1403191219E-08,-8.7461971119E-01,-8.7461970714E-01,-4.6318032315E-09,-5.5430904403E-01,-5.5430905145E-01,1.3385096530E-08
152,4.6947156638E-01,4.6947156279E-01,-7.6536674033E-09,-8.8294759020E-01,-8.8294759286E-01,3.0090502254E-09,-5.3170943633E-01,-5.3170943166E-01,-8.7749803452E-09
153,4.5399049856E-01,4.5399049974E-01,2.6032705073E-09,-8.9100652561E-01,-8.9100652419E-01,-1.5909526175E-09,-5.0952544808E-01,-5.0952544949E-01,2.7683629533E-09
154,4.3837114051E-01,4.3837114679E-01,1.4324011764E-08,-8.9879404753E-01,-8.9879404630E-01,-1.3743957694E-09,-4.8773258179E-01,-4.8773258857E-01,1.3883836089E-08
155,4.2261826433E-01,4.2261826174E-01,-6.1325182108E-09,-9.0630778670E-01,-9.0630778704E-01,3.6802088991E-10,-4.6630766056E-01,-4.6630765815E-01,-5.1677932627E-09
156,4.0673664026E-01,4.0673664308E-01,6.9238337887E-09,-9.1354545951E-01,-9.1354545764E-01,-2.0429143030E-09,-4.4522868097E-01,-4.4522868531E-01,9.7483652890E-09
157,3.9073112048E-01,3.9073112849E-01,2.0492831137E-08,-9.2050485685E-01,-9.2050485345E-01,-3.6960555252E-09,-4.2447480559E-01,-4.2447481621E-01,2.5009998873E-08
158,3.7460659444E-01,3.7460659342E-01,-2.7426345919E-09,-9.2718385532E-01,-9.2718385457E-01,-8.1774102245E-10,-4.0402622707E-01,-4.0402622584E-01,-3.0609999154E-09
159,3.5836794600E-01,3.5836794955E-01,9.8959551253E-09,-9.3358042836E-01,-9.3358042650E-01,-1.9973543618E-09,-3.8386403024E-01,-3.8386403504E-01,1.2487362882E-08
160,3.4202014841E-01,3.4202014333E-01,-1.4869663039E-08,-9.3969262019E-01,-9.3969262079E-01,6.3628307675E-10,-3.6397024058E-01,-3.6397023427E-01,-1.7341673156E-08
161,3.2556815445E-01,3.2556815446E-01,8.9865771937E-12,-9.4551857561E-01,-9.4551857560E-01,-9.9560410995E-12,-3.4432761371E-01,-3.4432761329E-01,-1.2246809723E-09
162,3.0901698954E-01,3.0901699437E-01,1.5633164559E-08,-9.5105651766E-01,-9.5105651630E-01,-1.4357341198E-09,-3.2491969131E-01,-3.2491969623E-01,1.5153201414E-08
163,2.9237170890E-01,2.9237170472E-01,-1.4286606105E-08,-9.5630475506E-01,-9.5630475596E-01,9.4234660309E-10,-3.0573068559E-01,-3.0573068146E-01,-1.3518554894E-08
164,2.7563735470E-01,2.7563735582E-01,4.0460489763E-09,-9.6126169711E-01,-9.6126169594E-01,-1.2225549287E-09,-2.8674538434E-01,-2.8674538576E-01,4.9636042126E-09
165,2.5881903991E-01,2.5881904510E-01,2.0058374331E-08,-9.6592582762E-01,-9.6592582629E-01,-1.3803807493E-09,-2.6794918627E-01,-2.6794919243E-01,2.3010535438E-08
166,2.4192189891E-01,2.4192189560E-01,-1.3678982595E-08,-9.7029572725E-01,-9.7029572628E-01,-1.0068721419E-09,-2.4932800606E-01,-2.4932800284E-01,-1.2897671370E-08
167,2.2495105211E-01,2.2495105434E-01,9.9441537373E-09,-9.7437006608E-01,-9.7437006479E-01,-1.3252478407E-09,-2.3086818866E-01,-2.3086819113E-01,1.0660826529E-08
168,2.0791168325E-01,2.0791169082E-01,3.6415777943E-08,-9.7814760357E-01,-9.7814760073E-01,-2.9010031824E-09,-2.1255655307E-01,-2.1255656167E-01,4.0444739118E-08
169,1.9080899749E-01,1.9080899538E-01,-1.1073728410E-08,-9.8162718490E-01,-9.8162718345E-01,-1.4771364439E-09,-1.9438031130E-01,-1.9438030914E-01,-1.1100257448E-08
170,1.7364817392E-01,1.7364817767E-01,2.1573045546E-08,-9.8480775207E-01,-9.8480775301E-01,9.5388865895E-10,-1.7632697709E-01,-1.7632698071E-01,2.0526736423E-08
171,1.5643447079E-01,1.5643446504E-01,-3.6740071319E-08,-9.8768834025E-01,-9.8768834060E-01,3.5280391090E-10,-1.5838444605E-01,-1.5838444032E-01,-3.6178810317E-08
172,1.3917310163E-01,1.3917310096E-01,-4.8408880384E-09,-9.9026807025E-01,-9.9026806874E-01,-1.5240108859E-09,-1.4054083545E-01,-1.4054083470E-01,-5.3024991543E-09
173,1.2186933868E-01,1.2186934341E-01,3.8802327061E-08,-9.9254615232E-01,-9.9254615164E-01,-6.8728531464E-10,-1.2278455589E-01,-1.2278456090E-01,4.0829551722E-08
174,1.0452846810E-01,1.0452846327E-01,-4.6251162919E-08,-9.9452189356E-01,-9.9452189537E-01,1.8173425185E-09,-1.0510424012E-01,-1.0510423527E-01,-4.6216080551E-08
175,8.7155742105E-02,8.7155742748E-02,7.3725727921E-09,-9.9619469792E-01,-9.9619469809E-01,1.7590715068E-10,-8.7488662917E-02,-8.7488663526E-02,6.9581303496E-09
176,6.9756466895E-02,6.9756473744E-02,9.8181333974E-08,-9.9756405130E-01,-9.9756405026E-01,-1.0430037190E-09,-6.9926804863E-02,-6.9926811944E-02,1.0125721403E-07
177,5.2335958928E-02,5.2335956243E-02,-5.1301747104E-08,-9.9862953648E-01,-9.9862953475E-01,-1.7275051431E-09,-5.2407782059E-02,-5.2407779283E-02,-5.2971557215E-08
178,3.4899494145E-02,3.4899496703E-02,7.3280000968E-08,-9.9939082563E-01,-9.9939082702E-01,1.3907086077E-09,-3.4920766950E-02,-3.4920769492E-02,7.2796042814E-08
179,1.7452412983E-02,1.7452406437E-02,-3.7508404334E-07,-9.9984769523E-01,-9.9984769516E-01,-7.5057874307E-11,-1.7455071444E-02,-1.7455064928E-02,-3.7327127492E-07
180,-1.2809966421E-09,1.2246467991E-16,1.0460132386E+07,-1.0000000000E+00,-1.0000000000E+00,-7.4987989133E-33,1.2809966421E-09,-1.2246467991E-16,1.0460132386E+07
181,-1.7452412983E-02,-1.7452406437E-02,-3.7508405738E-07,-9.9984769523E-01,-9.9984769516E-01,-7.5057870032E-11,1.7455071444E-02,1.7455064928E-02,-3.7327128896E-07
182,-3.4899494145E-02,-3.4899496703E-02,7.3280006671E-08,-9.9939082563E-01,-9.9939082702E-01,1.3907086007E-09,3.4920766950E-02,3.4920769492E-02,7.2796048525E-08
183,-5.2335958928E-02,-5.2335956243E-02,-5.1301751777E-08,-9.9862953648E-01,-9.9862953475E-01,-1.7275051303E-09,5.2407782059E-02,5.2407779283E-02,-5.2971561901E-08
184,-6.9756466895E-02,-6.9756473744E-02,9.8181324120E-08,-9.9756405130E-01,-9.9756405026E-01,-1.0430036708E-09,6.9926804863E-02,6.9926811944E-02,1.0125720413E-07
185,-8.7155742105E-02,-8.7155742748E-02,7.3725649166E-09,-9.9619469792E-01,-9.9619469809E-01,1.7590721096E-10,8.7488662917E-02,8.7488663526E-02,6.9581224138E-09
186,-1.0452846810E-01,-1.0452846327E-01,-4.6251169474E-08,-9.9452189356E-01,-9.9452189537E-01,1.8173425909E-09,1.0510424012E-01,1.0510423527E-01,-4.6216087179E-08
187,-1.2186933868E-01,-1.2186934341E-01,3.8802328683E-08,-9.9254615232E-01,-9.9254615164E-01,-6.8728533910E-10,1.2278455589E-01,1.2278456090E-01,4.0829553368E-08
188,-1.3917310163E-01,-1.3917310096E-01,-4.8408897812E-09,-9.9026807025E-01,-9.9026806874E-01,-1.5240108514E-09,1.4054083545E-01,1.4054083470E-01,-5.3025009314E-09
189,-1.5643447079E-01,-1.5643446504E-01,-3.6740072866E-08,-9.8768834025E-01,-9.8768834060E-01,3.5280394969E-10,1.5838444605E-01,1.5838444032E-01,-3.6178811902E-08
190,-1.7364817392E-01,-1.7364817767E-01,2.1573046675E-08,-9.8480775207E-01,-9.8480775301E-01,9.5388862384E-10,1.7632697709E-01,1.7632698071E-01,2.0526737588E-08
191,-1.9080899749E-01,-1.9080899538E-01,-1.1073729670E-08,-9.8162718490E-01,-9.8162718345E-01,-1.4771363963E-09,1.9438031130E-01,1.9438030914E-01,-1.1100258756E-08
192,-2.0791168325E-01,-2.0791169082E-01,3.6415776791E-08,-9.7814760357E-01,-9.7814760073E-01,-2.9010031303E-09,2.1255655307E-01,2.1255656167E-01,4.0444737913E-08
193,-2.2495105211E-01,-2.2495105434E-01,9.9441545999E-09,-9.7437006608E-01,-9.7437006479E-01,-1.3252478867E-09,2.3086818866E-01,2.3086819113E-01,1.0660827437E-08
194,-2.4192189891E-01,-2.4192189560E-01,-1.3678983577E-08,-9.7029572725E-01,-9.7029572628E-01,-1.0068720809E-09,2.4932800606E-01,2.4932800284E-01,-1.2897672413E-08
195,-2.5881903991E-01,-2.5881904510E-01,2.0058371760E-08,-9.6592582762E-01,-9.6592582629E-01,-1.3803805647E-09,2.6794918627E-01,2.6794919243E-01,2.3010532682E-08
196,-2.7563735470E-01,-2.7563735582E-01,4.0460465734E-09,-9.6126169711E-01,-9.6126169594E-01,-1.2225547312E-09,2.8674538434E-01,2.8674538576E-01,4.9636016121E-09
197,-2.9237170890E-01,-2.9237170472E-01,-1.4286608358E-08,-9.5630475506E-01,-9.5630475596E-01,9.4234681375E-10,3.0573068559E-01,3.0573068146E-01,-1.3518557358E-08
198,-3.0901698954E-01,-3.0901699437E-01,1.5633165172E-08,-9.5105651766E-01,-9.5105651630E-01,-1.4357341845E-09,3.2491969131E-01,3.2491969623E-01,1.5153202092E-08
199,-3.2556815445E-01,-3.2556815446E-01,8.9858658672E-12,-9.4551857561E-01,-9.4551857560E-01,-9.9559567635E-12,3.4432761371E-01,3.4432761329E-01,-1.2246817680E-09
200,-3.4202014841E-01,-3.4202014333E-01,-1.4869663712E-08,-9.3969262019E-01,-9.3969262079E-01,6.3628316590E-10,3.6397024058E-01,3.6397023427E-01,-1.7341673918E-08
201,-3.5836794600E-01,-3.5836794955E-01,9.8959556441E-09,-9.3358042836E-01,-9.3358042650E-01,-1.9973544382E-09,3.8386403024E-01,3.8386403504E-01,1.2487363477E-08
202,-3.7460659444E-01,-3.7460659342E-01,-2.7426351981E-09,-9.2718385532E-01,-9.2718385457E-01,-8.1774092349E-10,4.0402622707E-01,4.0402622584E-01,-3.0610006205E-09
203,-3.9073112048E-01,-3.9073112849E-01,2.0492829514E-08,-9.2050485685E-01,-9.2050485345E-01,-3.6960552328E-09,4.2447480559E-01,4.2447481621E-01,2.5009996958E-08
204,-4.0673664026E-01,-4.0673664308E-01,6.9238322411E-09,-9.1354545951E-01,-9.1354545764E-01,-2.0429139963E-09,4.4522868097E-01,4.4522868531E-01,9.7483634347E-09
205,-4.2261826433E-01,-4.2261826174E-01,-6.1325187361E-09,-9.0630778670E-01,-9.0630778704E-01,3.6802100412E-10,4.6630766056E-01,4.6630765815E-01,-5.1677939021E-09
206,-4.3837114051E-01,-4.3837114679E-01,1.4324011262E-08,-8.9879404753E-01,-8.9879404630E-01,-1.3743956499E-09,4.8773258179E-01,4.8773258857E-01,1.3883835467E-08
207,-4.5399049856E-01,-4.5399049974E-01,2.6032691551E-09,-8.9100652561E-01,-8.9100652419E-01,-1.5909522664E-09,5.0952544808E-01,5.0952544949E-01,2.7683612500E-09
208,-4.6947156638E-01,-4.6947156279E-01,-7.6536678640E-09,-8.8294759020E-01,-8.8294759286E-01,3.0090503556E-09,5.3170943633E-01,5.3170943166E-01,-8.7749809361E-09
209,-4.8480961472E-01,-4.8480962025E-01,1.1403190777E-08,-8.7461971119E-01,-8.7461970714E-01,-4.6318030957E-09,5.5430904403E-01,5.5430905145E-01,1.3385095952E-08
210,-5.0000000000E-01,-5.0000000000E-01,2.6532249400E-16,-8.6602540314E-01,-8.6602540378E-01,7.4185256522E-10,5.7735027000E-01,5.7735026919E-01,-1.4089443492E-09
211,-5.1503808051E-01,-5.1503807491E-01,-1.0879628957E-08,-8.5716729611E-01,-8.5716730070E-01,5.3554639766E-09,6.0086062923E-01,6.0086061903E-01,-1.6980938689E-08
212,-5.2991925925E-01,-5.2991926423E-01,9.4033960499E-09,-8.4804809839E-01,-8.4804809616E-01,-2.6282800774E-09,6.2486934289E-01,6.2486935191E-01,1.4428560305E-08
213,-5.4463903606E-01,-5.4463903502E-01,-1.9175131154E-09,-8.3867056668E-01,-8.3867056795E-01,1.5111736315E-09,6.4940759540E-01,6.4940759320E-01,-3.3854413033E-09
214,-5.5919289589E-01,-5.5919290347E-01,1.3557869556E-08,-8.2903757691E-01,-8.2903757256E-01,-5.2576529236E-09,6.7450850457E-01,6.7450851684E-01,1.8195316375E-08
215,-5.7357643545E-01,-5.7357643635E-01,1.5766104046E-09,-8.1915204599E-01,-8.1915204429E-01,-2.0826475638E-09,7.0020753518E-01,7.0020753821E-01,4.3304874266E-09
216,-5.8778525516E-01,-5.8778525229E-01,-4.8851769984E-09,-8.0901699141E-01,-8.0901699437E-01,3.6689814648E-09,7.2654253244E-01,7.2654252801E-01,-6.1092632732E-09
217,-6.0181501880E-01,-6.0181502315E-01,7.2267500747E-09,-7.9863551259E-01,-7.9863551005E-01,-3.1843253140E-09,7.5355404243E-01,7.5355405010E-01,1.0183823837E-08
218,-6.1566147581E-01,-6.1566147533E-01,-7.8252501994E-10,-7.8801075369E-01,-7.8801075361E-01,-1.0719923583E-10,7.8128562868E-01,7.8128562651E-01,-2.7770867576E-09
219,-6.2932039425E-01,-6.2932039105E-01,-5.0815654283E-09,-7.7714595944E-01,-7.7714596146E-01,2.5993538209E-09,8.0978403986E-01,8.0978403320E-01,-8.2244100802E-09
220,-6.4278760552E-01,-6.4278760969E-01,6.4756633672E-09,-7.6604444534E-01,-7.6604444312E-01,-2.8939403878E-09,8.3909962326E-01,8.3909963118E-01,9.4320118829E-09
221,-6.5605903044E-01,-6.5605902899E-01,-2.2146216281E-09,-7.5470957905E-01,-7.5470958022E-01,1.5532212345E-09,8.6928674206E-01,8.6928673782E-01,-4.8834859458E-09
222,-6.6913060099E-01,-6.6913060636E-01,8.0253290791E-09,-7.4314483255E-01,-7.4314482548E-01,-9.5191204460E-09,9.0040402859E-01,9.0040404430E-01,1.7440332674E-08
223,-6.8199835718E-01,-6.8199836006E-01,4.2312677298E-09,-7.3135370389E-01,-7.3135370162E-01,-3.0998679540E-09,9.3251508102E-01,9.3251508614E-01,5.4899400003E-09
224,-6.9465837255E-01,-6.9465837046E-01,-3.0118480450E-09,-7.1933979914E-01,-7.1933980034E-01,1.6719882897E-09,9.6568877995E-01,9.6568877481E-01,-5.3258025857E-09
225,-7.0710677654E-01,-7.0710678119E-01,6.5775587550E-09,-7.0710678771E-01,-7.0710678119E-01,-9.2275091304E-09,9.9999998510E-01,1.0000000000E+00,1.4901160888E-08
226,-7.1933979914E-01,-7.1933980034E-01,1.6719879941E-09,-6.9465837255E-01,-6.9465837046E-01,-3.0118477280E-09,1.0355303064E+00,1.0355303138E+00,7.1380819277E-09
227,-7.3135370389E-01,-7.3135370162E-01,-3.0998686536E-09,-6.8199835718E-01,-6.8199836006E-01,4.2312685343E-09,1.0723687187E+00,1.0723687100E+00,-8.0746838302E-09
228,-7.4314482138E-01,-7.4314482548E-01,5.5194969370E-09,-6.6913061216E-01,-6.6913060636E-01,-8.6767475584E-09,1.1106124967E+00,1.1106125148E+00,1.6293285448E-08
229,-7.5470957905E-01,-7.5470958022E-01,1.5532209684E-09,-6.5605903044E-01,-6.5605902899E-01,-2.2146212759E-09,1.1503683999E+00,1.1503684072E+00,6.3483393401E-09
230,-7.6604444534E-01,-7.6604444312E-01,-2.8939406447E-09,-6.4278760552E-01,-6.4278760969E-01,6.4756637320E-09,1.1917536035E+00,1.1917535926E+00,-9.1661564207E-09
231,-7.7714595944E-01,-7.7714596146E-01,2.5993542922E-09,-6.2932039425E-01,-6.2932039105E-01,-5.0815661470E-09,1.2348971441E+00,1.2348971565E+00,1.0038276801E-08
232,-7.8801075369E-01,-7.8801075361E-01,-1.0719947503E-10,-6.1566147581E-01,-6.1566147533E-01,-7.8252462807E-10,1.2799416333E+00,1.2799416322E+00,-8.9896067131E-10
233,-7.9863550514E-01,-7.9863551005E-01,6.1448120947E-09,-6.0181502998E-01,-6.0181502315E-01,-1.1343525211E-08,1.3270447999E+00,1.3270448216E+00,1.6349495512E-08
234,-8.0901699141E-01,-8.0901699437E-01,3.6689812423E-09,-5.8778525516E-01,-5.8778525229E-01,-4.8851765770E-09,1.3763819113E+00,1.3763819205E+00,6.6360922798E-09
235,-8.1915204599E-01,-8.1915204429E-01,-2.0826480892E-09,-5.7357643545E-01,-5.7357643635E-01,1.5766114761E-09,1.4281480089E+00,1.4281480067E+00,-1.4990645184E-09
236,-8.2903756946E-01,-8.2903757256E-01,3.7293706131E-09,-5.5919291079E-01,-5.5919290347E-01,-1.3089751469E-08,1.4825609401E+00,1.4825609685E+00,1.9173509555E-08
237,-8.3867056668E-01,-8.3867056795E-01,1.5111737210E-09,-5.4463903606E-01,-5.4463903502E-01,-1.9175133278E-09,1.5398649573E+00,1.5398649638E+00,4.2094420145E-09
238,-8.4804809839E-01,-8.4804809616E-01,-2.6282802687E-09,-5.2991925925E-01,-5.2991926423E-01,9.4033965399E-09,1.6003345475E+00,1.6003345290E+00,-1.1509486753E-08
239,-8.5716729611E-01,-8.5716730070E-01,5.3554637927E-09,-5.1503808051E-01,-5.1503807491E-01,-1.0879628448E-08,1.6642794535E+00,1.6642794824E+00,1.7361335886E-08
240,-8.6602540314E-01,-8.6602540378E-01,7.4185238845E-10,-5.0000000000E-01,-5.0000000000E-01,7.9561011336E-16,1.7320508063E+00,1.7320508076E+00,7.4185159284E-10
241,-8.7461971119E-01,-8.7461970714E-01,-4.6318030193E-09,-4.8480961472E-01,-4.8480962025E-01,1.1403190528E-08,1.8040477857E+00,1.8040477553E+00,-1.6866484002E-08
242,-8.8294759020E-01,-8.8294759286E-01,3.0090504289E-09,-4.6947156638E-01,-4.6947156279E-01,-7.6536681234E-09,1.8807264417E+00,1.8807264653E+00,1.2551183232E-08
243,-8.9100652561E-01,-8.9100652419E-01,-1.5909526487E-09,-4.5399049856E-01,-4.5399049974E-01,2.6032706275E-09,1.9626105130E+00,1.9626105055E+00,-3.8044880788E-09
244,-8.9879404381E-01,-8.9879404630E-01,2.7703691990E-09,-4.3837115355E-01,-4.3837114679E-01,-1.5419085349E-08,2.0503038019E+00,2.0503038416E+00,1.9355719671E-08
245,-9.0630778670E-01,-9.0630778704E-01,3.6802065427E-10,-4.2261826433E-01,-4.2261826174E-01,-6.1325171272E-09,2.1445069015E+00,2.1445069205E+00,8.8630845805E-09
246,-9.1354545578E-01,-9.1354545764E-01,2.0349237761E-09,-4.0673664771E-01,-4.0673664308E-01,-1.1394114873E-08,2.2460367382E+00,2.2460367739E+00,1.5915565101E-08
247,-9.2050485313E-01,-9.2050485345E-01,3.5095241185E-10,-3.9073112793E-01,-3.9073112849E-01,1.4245245543E-09,2.3558523655E+00,2.3558523658E+00,1.4006733628E-10
248,-9.2718385532E-01,-9.2718385457E-01,-8.1774104719E-10,-3.7460659444E-01,-3.7460659342E-01,-2.7426344403E-09,2.4750868529E+00,2.4750868534E+00,2.0530974841E-10
249,-9.3358042464E-01,-9.3358042650E-01,1.9929714973E-09,-3.5836795345E-01,-3.5836794955E-01,-1.0894353089E-08,2.6050890237E+00,2.6050890647E+00,1.5732475825E-08
250,-9.3969262019E-01,-9.3969262079E-01,6.3628289283E-10,-3.4202014096E-01,-3.4202014333E-01,6.9143786822E-09,2.7474774420E+00,2.7474774195E+00,-8.2153620406E-09
251,-9.4551857561E-01,-9.4551857560E-01,-9.9559092713E-12,-3.2556815445E-01,-3.2556815446E-01,8.9854652966E-12,2.9042108804E+00,2.9042108777E+00,-9.3757904171E-10
252,-9.5105651394E-01,-9.5105651630E-01,2.4812678834E-09,-3.0901699699E-01,-3.0901699437E-01,-8.4774205356E-09,3.0776835084E+00,3.0776835372E+00,9.3508973804E-09
253,-9.5630475506E-01,-9.5630475596E-01,9.4234658437E-10,-2.9237170890E-01,-2.9237170472E-01,-1.4286605904E-08,3.2708525658E+00,3.2708526185E+00,1.6117741101E-08
254,-9.6126169711E-01,-9.6126169594E-01,-1.2225546916E-09,-2.7563735470E-01,-2.7563735582E-01,4.0460460924E-09,3.4874144644E+00,3.4874144438E+00,-5.8821807776E-09
255,-9.6592582762E-01,-9.6592582629E-01,-1.3803806467E-09,-2.5881904550E-01,-2.5881904510E-01,-1.5317517558E-09,3.7320508063E+00,3.7320508076E+00,3.4429550503E-10
256,-9.7029572725E-01,-9.7029572628E-01,-1.0068721572E-09,-2.4192189891E-01,-2.4192189560E-01,-1.3678982349E-08,4.0107808709E+00,4.0107809335E+00,1.5613264657E-08
257,-9.7437006235E-01,-9.7437006479E-01,2.4980327786E-09,-2.2495105956E-01,-2.2495105434E-01,-2.3176740611E-08,4.3314757645E+00,4.3314758743E+00,2.5342663235E-08
258,-9.7814759985E-01,-9.7814760073E-01,9.0751220998E-10,-2.0791169070E-01,-2.0791169082E-01,5.8046693503E-10,4.7046301067E+00,4.7046301095E+00,5.9322358670E-10
259,-9.8162718490E-01,-9.8162718345E-01,-1.4771365421E-09,-1.9080899749E-01,-1.9080899538E-01,-1.1073725810E-08,5.1445539594E+00,5.1445540160E+00,1.1002048407E-08
260,-9.8480775207E-01,-9.8480775301E-01,9.5388864816E-10,-1.7364818137E-01,-1.7364817767E-01,-2.1333137731E-08,5.6712816954E+00,5.6712818196E+00,2.1908945526E-08
261,-9.8768834025E-01,-9.8768834060E-01,3.5280390120E-10,-1.5643447079E-01,-1.5643446504E-01,-3.6740070933E-08,6.3137512803E+00,6.3137515147E+00,3.7120128266E-08
262,-9.9026807025E-01,-9.9026806874E-01,-1.5240107696E-09,-1.3917310163E-01,-1.3917310096E-01,-4.8408939224E-09,7.1153697073E+00,7.1153697224E+00,2.1134913958E-09
263,-9.9254615232E-01,-9.9254615164E-01,-6.8728526763E-10,-1.2186934613E-01,-1.2186934341E-01,-2.2333482559E-08,8.1443462372E+00,8.1443464280E+00,2.3426311700E-08
264,-9.9452189356E-01,-9.9452189537E-01,1.8173425587E-09,-1.0452846810E-01,-1.0452846327E-01,-4.6251166561E-08,9.5143640041E+00,9.5143644542E+00,4.7306098680E-08
265,-9.9619469792E-01,-9.9619469809E-01,1.7590718418E-10,-8.7155742105E-02,-8.7155742748E-02,7.3725684160E-09,1.1430052400E+01,1.1430052303E+01,-8.4753752697E-09
266,-9.9756405130E-01,-9.9756405026E-01,-1.0430037232E-09,-6.9756474346E-02,-6.9756473744E-02,-8.6271116935E-09,1.4300666153E+01,1.4300666257E+01,7.2221062895E-09
267,-9.9862953648E-01,-9.9862953475E-01,-1.7275051696E-09,-5.2335958928E-02,-5.2335956243E-02,-5.1301737461E-08,1.9081135750E+01,1.9081136688E+01,4.9153840123E-08
268,-9.9939082563E-01,-9.9939082702E-01,1.3907085745E-09,-3.4899501596E-02,-3.4899496703E-02,-1.4020673529E-07,2.8636249304E+01,2.8636253283E+01,1.3895313959E-07
269,-9.9984769523E-01,-9.9984769516E-01,-7.5057875376E-11,-1.7452405533E-02,-1.7452406437E-02,5.1824456920E-08,5.7289964676E+01,5.7289961631E+01,-5.3153183591E-08
270,-1.0000000000E+00,-1.0000000000E+00,-1.6872297555E-32,1.2809966421E-09,-1.8369701987E-16,6.9734219242E+06,-7.8064230400E+08,5.4437464511E+15,1.0000001434E+00
271,-9.9984769523E-01,-9.9984769516E-01,-7.5057868963E-11,1.7452405533E-02,1.7452406437E-02,5.1824435872E-08,-5.7289964676E+01,-5.7289961631E+01,-5.3153162537E-08
272,-9.9939082563E-01,-9.9939082702E-01,1.3907085874E-09,3.4899494145E-02,3.4899496703E-02,7.3280017635E-08,-2.8636255264E+01,-2.8636253283E+01,-6.9190855962E-08
273,-9.9862953648E-01,-9.9862953475E-01,-1.7275051504E-09,5.2335958928E-02,5.2335956243E-02,-5.1301744472E-08,-1.9081135750E+01,-1.9081136688E+01,4.9153847153E-08
274,-9.9756405130E-01,-9.9756405026E-01,-1.0430036976E-09,6.9756474346E-02,6.9756473744E-02,-8.6271169475E-09,-1.4300666153E+01,-1.4300666257E+01,7.2221115691E-09
275,-9.9619469792E-01,-9.9619469809E-01,1.7590721632E-10,8.7155742105E-02,8.7155742748E-02,7.3725642167E-09,-1.1430052400E+01,-1.1430052303E+01,-8.4753710382E-09
276,-9.9452189729E-01,-9.9452189537E-01,-1.9284676415E-09,1.0452846065E-01,1.0452846327E-01,2.5026837521E-08,-9.5143647194E+00,-9.5143644542E+00,-2.7870305074E-08
277,-9.9254615232E-01,-9.9254615164E-01,-6.8728533158E-10,1.2186934613E-01,1.2186934341E-01,-2.2333478317E-08,-8.1443462372E+00,-8.1443464280E+00,2.3426307394E-08
278,-9.9026807025E-01,-9.9026806874E-01,-1.5240108428E-09,1.3917310163E-01,1.3917310096E-01,-4.8408902168E-09,-7.1153697073E+00,-7.1153697224E+00,2.1134876170E-09
279,-9.8768834025E-01,-9.8768834060E-01,3.5280395939E-10,1.5643446334E-01,1.5643446504E-01,1.0887414687E-08,-6.3137515783E+00,-6.3137515147E+00,-1.0082110873E-08
280,-9.8480775207E-01,-9.8480775301E-01,9.5388871294E-10,1.7364818137E-01,1.7364817767E-01,-2.1333139814E-08,-5.6712816954E+00,-5.6712818196E+00,2.1908947674E-08
281,-9.8162718490E-01,-9.8162718345E-01,-1.4771362980E-09,1.9080899749E-01,1.9080899538E-01,-1.1073732270E-08,-5.1445539594E+00,-5.1445540160E+00,1.1002055111E-08
282,-9.7814759985E-01,-9.7814760073E-01,9.0751247686E-10,2.0791169070E-01,2.0791169082E-01,5.8046102803E-10,-4.7046301067E+00,-4.7046301095E+00,5.9322976058E-10
283,-9.7437006608E-01,-9.7437006479E-01,-1.3252478726E-09,2.2495105211E-01,2.2495105434E-01,9.9441543347E-09,-4.3314759135E+00,-4.3314758743E+00,-9.0593763937E-09
284,-9.7029572725E-01,-9.7029572628E-01,-1.0068720656E-09,2.4192189891E-01,2.4192189560E-01,-1.3678983822E-08,-4.0107808709E+00,-4.0107809335E+00,1.5613266223E-08
285,-9.6592582762E-01,-9.6592582629E-01,-1.3803807863E-09,2.5881904550E-01,2.5881904510E-01,-1.5317498122E-09,-3.7320508063E+00,-3.7320508076E+00,3.4429342189E-10
286,-9.6126169711E-01,-9.6126169594E-01,-1.2225548409E-09,2.7563735470E-01,2.7563735582E-01,4.0460479086E-09,-3.4874144644E+00,-3.4874144438E+00,-5.8821827431E-09
