Angle,Posit-sin,MPFR-sin,Error,Posit-cos,MPFR-cos,Error,Posit-tan,MPFR-tan,Error
33,5.4463903606E-01,5.4463903502E-01,-1.9175130978E-09,8.3867056668E-01,8.3867056795E-01,1.5111736240E-09,6.4940759540E-01,6.4940759320E-01,-3.3854412783E-09
34,5.5919290334E-01,5.5919290347E-01,2.3405883340E-10,8.2903757319E-01,8.2903757256E-01,-7.6414105973E-10,6.7450851575E-01,6.7450851684E-01,1.6264068998E-09
35,5.7357643917E-01,5.7357643635E-01,-4.9182345370E-09,8.1915204227E-01,8.1915204429E-01,2.4650919271E-09,7.0020754263E-01,7.0020753821E-01,-6.3100436687E-09
36,5.8778525144E-01,5.8778525229E-01,1.4526655776E-09,8.0901699513E-01,8.0901699437E-01,-9.3573066903E-10,7.2654252499E-01,7.2654252801E-01,4.1455814149E-09
37,6.0181502625E-01,6.0181502315E-01,-5.1534332626E-09,7.9863550887E-01,7.9863551005E-01,1.4802432461E-09,7.5355405360E-01,7.5355405010E-01,-4.6470570452E-09
38,6.1566147581E-01,6.1566147533E-01,-7.8252443689E-10,7.8801075369E-01,7.8801075361E-01,-1.0719959173E-10,7.8128562868E-01,7.8128562651E-01,-2.7770858186E-09
39,6.2932039052E-01,6.2932039105E-01,8.3797919127E-10,7.7714595944E-01,7.7714596146E-01,2.5993539914E-09,8.0978403613E-01,8.0978403320E-01,-3.6240601140E-09
40,6.4278760925E-01,6.4278760969E-01,6.8014050150E-10,7.6604444534E-01,7.6604444312E-01,-2.8939403974E-09,8.3909962699E-01,8.3909963118E-01,4.9923838095E-09
41,6.5605903044E-01,6.5605902899E-01,-2.2146219981E-09,7.5470957905E-01,7.5470958022E-01,1.5532215141E-09,8.6928674206E-01,8.6928673782E-01,-4.8834865954E-09
42,6.6913060844E-01,6.6913060636E-01,-3.1093888932E-09,7.4314482510E-01,7.4314482548E-01,5.0662464945E-10,9.0040404722E-01,9.0040404430E-01,-3.2464374371E-09
43,6.8199836090E-01,6.8199836006E-01,-1.2310477640E-09,7.3135370016E-01,7.3135370162E-01,1.9938236575E-09,9.3251508847E-01,9.3251508614E-01,-2.4998292578E-09
44,6.9465837255E-01,6.9465837046E-01,-3.0118481482E-09,7.1933979914E-01,7.1933980034E-01,1.6719883859E-09,9.6568877995E-01,9.6568877481E-01,-5.3258027850E-09
45,7.0710678026E-01,7.0710678119E-01,1.3092028136E-09,7.0710678026E-01,7.0710678119E-01,1.3092028748E-09,1.0000000000E+00,1.0000000000E+00,-6.1232339957E-17
46,7.1933980286E-01,7.1933980034E-01,-3.5067747194E-09,6.9465836883E-01,6.9465837046E-01,2.3509180414E-09,1.0355303213E+00,1.0355303138E+00,-7.2518017015E-09
47,7.3135370016E-01,7.3135370162E-01,1.9938236004E-09,6.8199836090E-01,6.8199836006E-01,-1.2310476983E-09,1.0723687038E+00,1.0723687100E+00,5.8208749199E-09
48,7.4314482510E-01,7.4314482548E-01,5.0662459431E-10,6.6913060471E-01,6.6913060636E-01,2.4579701673E-09,1.1106125191E+00,1.1106125148E+00,-3.8323127875E-09
49,7.5470957905E-01,7.5470958022E-01,1.5532213644E-09,6.5605903044E-01,6.5605902899E-01,-2.2146217999E-09,1.1503683999E+00,1.1503684072E+00,6.3483402601E-09
50,7.6604444534E-01,7.6604444312E-01,-2.8939404488E-09,6.4278760925E-01,6.4278760969E-01,6.8014057448E-10,1.1917535961E+00,1.1917535926E+00,-2.9143765156E-09
51,7.7714595944E-01,7.7714596146E-01,2.5993538519E-09,6.2932039052E-01,6.2932039105E-01,8.3797940398E-10,1.2348971516E+00,1.2348971565E+00,4.0049144839E-09
52,7.8801075369E-01,7.8801075361E-01,-1.0719963957E-10,6.1566147581E-01,6.1566147533E-01,-7.8252435851E-10,1.2799416333E+00,1.2799416322E+00,-8.9896110541E-10
53,7.9863550887E-01,7.9863551005E-01,1.4802432000E-09,6.0181502625E-01,6.0181502315E-01,-5.1534331814E-09,1.3270448148E+00,1.3270448216E+00,5.1206649356E-09
54,8.0901699513E-01,8.0901699437E-01,-9.3573071352E-10,5.8778525144E-01,5.8778525229E-01,1.4526656619E-09,1.3763819262E+00,1.3763819205E+00,-4.1902347866E-09
55,8.1915204227E-01,8.1915204429E-01,2.4650918842E-09,5.7357643917E-01,5.7357643635E-01,-4.9182344495E-09,1.4281479940E+00,1.4281480067E+00,8.9348416109E-09
56,8.2903757319E-01,8.2903757256E-01,-7.6414102615E-10,5.5919290334E-01,5.5919290347E-01,2.3405875958E-10,1.4825609699E+00,1.4825609685E+00,-9.2840949508E-10
57,8.3867057040E-01,8.3867056795E-01,-2.9307258228E-09,5.4463903233E-01,5.4463903502E-01,4.9224122662E-09,1.5398649722E+00,1.5398649638E+00,-5.4674856733E-09
58,8.4804809839E-01,8.4804809616E-01,-2.6282801922E-09,5.2991925925E-01,5.2991926423E-01,9.4033963439E-09,1.6003345475E+00,1.6003345290E+00,-1.1509486481E-08
59,8.5716730356E-01,8.5716730070E-01,-3.3366322868E-09,5.1503807306E-01,5.1503807491E-01,3.5864486347E-09,1.6642794907E+00,1.6642794824E+00,-5.0224661846E-09
60,8.6602540314E-01,8.6602540378E-01,7.4185258736E-10,5.0000000000E-01,5.0000000000E-01,1.9890252834E-16,1.7320508063E+00,1.7320508076E+00,7.4185238845E-10
61,8.7461970747E-01,8.7461970714E-01,-3.7247738081E-10,4.8480962217E-01,4.8480962025E-01,-3.9648632490E-09,1.8040477484E+00,1.8040477553E+00,3.7831365563E-09
62,8.8294759393E-01,8.8294759286E-01,-1.2101018462E-09,4.6947155893E-01,4.6947156279E-01,8.2164745550E-09,1.8807264864E+00,1.8807264653E+00,-1.1218080857E-08
63,8.9100652561E-01,8.9100652419E-01,-1.5909525863E-09,4.5399049856E-01,4.5399049974E-01,2.6032703872E-09,1.9626105130E+00,1.9626105055E+00,-3.8044877761E-09
64,8.9879404753E-01,8.9879404630E-01,-1.3743958478E-09,4.3837114796E-01,4.3837114679E-01,-2.6720439915E-09,2.0503038317E+00,2.0503038416E+00,4.8201567023E-09
65,9.0630778670E-01,9.0630778704E-01,3.6802091846E-10,4.2261826433E-01,4.2261826174E-01,-6.1325183422E-09,2.1445069015E+00,2.1445069205E+00,8.8630860597E-09
66,9.1354545951E-01,9.1354545764E-01,-2.0429141769E-09,4.0673664026E-01,4.0673664308E-01,6.9238331524E-09,2.2460367978E+00,2.2460367739E+00,-1.0622132799E-08
67,9.2050485313E-01,9.2050485345E-01,3.5095236958E-10,3.9073112793E-01,3.9073112849E-01,1.4245247889E-09,2.3558523655E+00,2.3558523658E+00,1.4006705942E-10
68,9.2718385532E-01,9.2718385457E-01,-8.1774090800E-10,3.7460659444E-01,3.7460659342E-01,-2.7426352930E-09,2.4750868529E+00,2.4750868534E+00,2.0531074029E-10
69,9.3358042836E-01,9.3358042650E-01,-1.9973544235E-09,3.5836794600E-01,3.5836794955E-01,9.8959555442E-09,2.6050890982E+00,2.6050890647E+00,-1.2867622458E-08
